Date,Open,High,Low,Close,Volume,Adj Close
1993-07-01,1705.50,1854.800049,1687.300049,1803.199951,000,1803.199951
1993-06-01,1624.900024,1712.199951,1616.599976,1697.599976,000,1697.599976
1993-05-03,1620.300049,1662.900024,1600.699951,1631.900024,000,1631.900024
1993-04-01,1677.599976,1694.599976,1616.099976,1627.199951,000,1627.199951
1993-03-01,1695.800049,1718.199951,1645.099976,1684.199951,000,1684.199951
1993-02-01,1582.400024,1684.400024,1581.50,1684.400024,000,1684.400024
1993-01-04,1533.099976,1590.800049,1514.300049,1571.900024,000,1571.900024
1992-12-01,1545.800049,1546.00,1462.00,1545.099976,000,1545.099976
1992-11-02,1479.400024,1560.699951,1466.699951,1544.300049,000,1544.300049
1992-10-01,1468.199951,1542.50,1413.699951,1492.300049,000,1492.300049
1992-09-01,1519.300049,1598.199951,1463.300049,1466.400024,000,1466.400024
1992-08-03,1602.00,1632.800049,1460.599976,1541.300049,000,1541.300049
1992-07-01,1751.800049,1779.50,1602.599976,1615.400024,000,1615.400024
1992-06-01,1803.400024,1803.400024,1745.199951,1752.599976,000,1752.599976
1992-05-04,1729.00,1814.599976,1720.400024,1803.199951,000,1803.199951
1992-04-01,1711.400024,1760.400024,1707.300049,1734.00,000,1734.00
1992-03-02,1743.300049,1772.199951,1700.300049,1717.900024,000,1717.900024
1992-02-03,1688.199951,1751.199951,1671.599976,1745.099976,000,1745.099976
1992-01-02,1602.300049,1698.099976,1577.400024,1687.50,000,1687.50
1991-12-02,1549.900024,1578.00,1536.300049,1578.00,000,1578.00
1991-11-01,1575.099976,1630.199951,1562.599976,1566.599976,000,1566.599976
1991-10-01,1613.00,1615.900024,1550.699951,1582.099976,000,1582.099976
1991-09-02,1658.00,1658.900024,1604.699951,1607.00,000,1607.00
1991-08-01,1627.400024,1665.800049,1476.800049,1650.50,000,1650.50
1991-07-01,1624.00,1650.800049,1591.00,1622.300049,000,1622.300049
1991-06-03,1702.00,1728.300049,1614.099976,1622.199951,000,1622.199951
1991-05-02,1611.599976,1710.099976,1585.00,1704.099976,000,1704.099976
1991-04-02,1522.599976,1638.199951,1521.900024,1605.800049,000,1605.800049
1991-03-01,1524.00,1596.900024,1496.50,1522.800049,000,1522.800049
1991-02-01,1413.199951,1612.800049,1411.00,1542.099976,000,1542.099976
1991-01-02,1375.400024,1428.50,1311.800049,1420.099976,000,1420.099976
